corporate_name,corporate_name_corrected,new_name,new_variant
Shell Canada Alexy Panasov,Shell Canada Alexy Panasov,False,False
Service Internet Sag-Lac Wimax,Service Internet Sag-Lac Wimax,False,False
Semper Wifi S.E.N.C.,Semper Wifi S.E.N.C.,False,False
Seaside Wireless Communications Inc.,Seaside Wireless Communications,False,False
SASKTEL(PCS) Eng. Manager - Wireless Network,SaskTel,False,False
SASKTEL(BRS) Eng. Manager - Wireless Networks,SaskTel,False,False
SASKTEL(AWS/PCS),SaskTel,False,False
Sasktel Mobility(Cell/PCS),SaskTel,False,False
SASKTEL MOBILITY(CELL/PCS),SaskTel,False,False
Saskatoon Health Region,Saskatoon Health Region,False,False
Saskatchewan Telecommunications,SaskTel,False,False
SASK POWER,SASK POWER,False,False
Samson Cree Nation,Samson Cree Nation,False,False
Safari Telecom,Safari Telecom,False,False
RuralCom Corporation,TNW,False,False
ROXBOROUGH TELEPHONE CO LTD,ROXBOROUGH TELEPHONE,False,False
ROVVR Communications Inc.,ROVVR Communications,False,False
Routcom Inc.,Routcom,False,False
ROGERS COMMUNICATIONS PARTNERSHIP M. VUJOSEVIC ENG. TRANSMISSION,Rogers,False,False
Rogers Communications Partnership,Rogers,False,False
Rogers Communications Canada Inc.,Rogers,False,False
RipNET Limited,RipNET,False,False
Rionet Wireless Inc,Rionet Wireless,False,False
Rio Tinto Fer et Titane inc. (QIT - Fer et Titane),RioTinto,False,False
RIGSTAR COMMUNICATIONS INC.,Rigstar Communications,False,False
Rigstar Communications,Rigstar Communications,False,False
RFNow Inc.,RFNow Inc.,False,False
RF WIRELESS SYSTEMS INC.,RF WIRELESS SYSTEMS,False,False
REZTEL COMMUNICATIONS INC.,REZTEL COMMUNICATIONS,False,False
Réseau sans fil Click inc,Réseau sans fil Click,False,False
Réseau Internet Maskoutain,Réseau Internet Maskoutain,False,False
Regional Municipality of Durham Works Department,Regional Municipality of Durham Works Department,False,False
Redbird Communications Inc.,Redbird Communications,False,False
Red Sands Internet inc.,Red Sands Internet,False,False
Rally Management Ltd.,Rally Management,False,False
RAGGED EDGE COMMUNITY NETWORK SOCIETY,RAGGED EDGE COMMUNITY NETWORK SOCIETY,False,False
Raftview Communications Ltd,Raftview Communications,False,False
R.M. of Wood Buffalo,R.M. of Wood Buffalo,False,False
Quantum Xpress,Quantum Xpress,False,False
Quadro Communications Co-operative Inc.,Quadro Communications,False,False
QUADRO COMMUNICATIONS CO-OPERATIVE INC,Quadro Communications,False,False
QCIslands Net Ltd.,QCIslands Net,False,False
Prime Signal Ltd,Prime Signal,False,False
Precision Communication Solutions,Precision Communication Solutions,False,False
Porthos Pet Supplies,Porthos Pet Supplies & Grooming,False,False
Polar Group ICT Inc.,Polar Group ICT,False,False
Point to Point Communications,Point to Point Communications,False,False
Platinum Communications Corporation,Platinum Communications,False,False
Petron Communications Ltd.,Petron Communications,False,False
PerfectWorld Innovations Inc.,PerfectWorld Innovations,False,False
Peoples Tel Limited Partnership,Eastlink,False,False
PENNWEST PETROLEUM LTD PEACE RIVER OIL PARTNERSHIP,PENNWEST PETROLEUM  PEACE RIVER OIL PARTNERSHIP,False,False
Peel Regional Police,Peel Regional Police,False,False
Peak Broadband Solutions,Peak Broadband Solutions,False,False
Peace Region Internet Society,Peace Region Internet Society,False,False
PC Mini Tech,PC Mini Tech,False,False
Pattison Outdoor Advertising LP,Pattison Outdoor Advertising LP,False,False
Partenariat du quartier des spectacles,Partenariat du quartier des spectacles,False,False
Partenariat du quartier des spectac,Partenariat du quartier des spectacles,False,False
PACKET-TEL CORP.,PACKET-TEL,False,False
OptionsDSL,OptionsDSL,False,False
Ontario High Speed Inc,Ontario High Speed,False,False
ONDENET inc. 4443012 Canada inc,ONDENET,False,False
ONDENET inc 4443012 Canada inc,ONDENET,False,False
OmniTec Wireless,OmniTec Wireless,False,False
OMNIGLOBE BROADBAND INC.,OMNIGLOBE BROADBAND,False,False
Obsidian Energy LTD.,Obsidian Energy,False,False
O'Chiese First Nation,O'Chiese First Nation,False,False
NWIC Inc.,NWIC,False,False
NS Dept. of Internal Service Public Safety Field Comm. Office,NS Dept. of Internal Service Public Safety Field Comm. Office,False,False
NorthWind Wireless,NorthWind Wireless,False,False
Northern Health Information & Technology Services,Northern Health Authority,False,False
Northern Health Authority,Northern Health Authority,False,False
North Shore Power Group Inc.,North Shore Power Group,False,False
NORTH RENFREW TELEPHONE CO LTD,NORTH RENFREW TELEPHONE,False,False
North Nova Cable Limited,North Nova Cable,False,False
NORTH FRONTENAC TELEPHONE CO,NORTH FRONTENAC TELEPHONE,False,False
Normand Richard o/a MASKICOM,Maskicom,False,False
Noralta Technologies Inc.,Noralta,False,False
NOLIMITS INTERNET SOLUTIONS,NOLIMITS INTERNET SOLUTIONS,False,False
NHCN Broadband Inc,NHCN Broadband,False,False
NEXICOM MOBILITY INC.,NEXICOM,False,False
NEXICOM INC.,NEXICOM,False,False
"NetSet Communications, a Division of Xplornet Communications Inc.",Xplornet,False,False
Nechako Lumber Co. Ltd. L&M Lumber Ltd./Premium Pellet Ltd.,Nechako Lumber Co.  L&M Lumber /Premium Pellet,False,False
NCS Network Consulting,NCS Network Consulting,False,False
Navigata Communications Partnership,TNW,False,False
Navigata Communications Ltd,TNW,False,False
NATIONAL DEFENCE HEADQUARTERS,NATIONAL DEFENCE HEADQUARTERS,False,False
NASKAPI IMUUN INC.,NASKAPI IMMUN,False,False
MURPHY OIL COMPANY,MURPHY OIL,False,False
"Municipality of Strathroy-Caradoc Mark Harris, Director of Environmen",Municipality of Strathroy-Caradoc,False,False
Multiboard Communications Inc.,Multiboard Communications,False,False
MTS Inc.,MTS,False,False
Mountain Aire Computers Ltd.,Mountain Aire Computers,False,False
Mount Polley Mining Corporation,Mount Polley Mining,False,False
"Motor Coach Industries, International Inc.","Motor Coach Industries, International",False,False
Mornington Communications Co-Op Ltd,MORNINGTON COMMUNICATIONS,False,False
MORNINGTON COMMUNICATIONS CO-OP LTD,MORNINGTON COMMUNICATIONS,False,False
MORAD COMMUNICATIONS LTD.,MORAD COMMUNICATIONS,False,False
Mobilexchange Spectrum Inc.,Mobilexchange Spectrum,False,False
Mitronics Wireless Inc.,Mitronics  Wireless Inc.,False,False
Mitronics  Wireless Inc.,Mitronics  Wireless Inc.,False,False
Mitronics  Wireless Inc.,Mitronics  Wireless Inc.,False,False
Missing Link Internet Inc. RimbeyTV,Missing Link Internet  RimbeyTV,False,False
Ministry of Transportation Ontario - ITS Program - Implementation Unit,Ministry of Transportation Implementation Unit,False,False
"Ministry of Transportation Implemen tation Unit, ITS Program  Section",Ministry of Transportation Implementation Unit,False,False
MIGHTYPEACE WIRELESS,MIGHTYPEACE WIRELESS,False,False
Michel Offroy,Michel Offroy,False,False
MICHAEL KIELUK,MICHAEL KIELUK,False,False
MEGAWIRE INC.,MEGAWIRE,False,False
"MD of Wood Buffalo, Hamlet of Fort Chipewan","MD of Wood Buffalo, Hamlet of Fort Chipewan",False,False
"May, Maximilian","MAY, MAXIMILIAN",False,False
"MAY, MAXIMILIAN","MAY, MAXIMILIAN",False,False
Maximum ISP,Maximum ISP,False,False
MASCON CABLE SYSTEMS INC.,MASCON CABLE SYSTEMS,False,False
Manitoba Netset Ltd.,Manitoba Netset,False,False
MANITOBA NETSET LTD,Manitoba Netset,False,False
Manitoba Hydro,Manitoba Hydro,False,False
MAINLAND TELECOM INC.,MAINLAND TELECOM,False,False
LYTTON AREA WIRELESS SOCIETY,LYTTON AREA WIRELESS SOCIETY,False,False
Lynx Mobility Inc.,Lynx Mobility,False,False
LTR COMMUNICATIONS CORPORATION,LTR COMMUNICATIONS,False,False
les.net (1996) inc.,Ies.net,False,False
LEMALU HOLDINGS LTD MCSNet,LEMALU HOLDINGS  MCSNet,False,False
Last Mile Wireless Internet Inc.,Last Mile Wireless Internet,False,False
LANSDOWNE RURAL TELEPHONE CO,LANSDOWNE RURAL TELEPHONE,False,False
LAKESIDEBROADBAND INC.,LAKESIDEBROADBAND,False,False
Lake Land Networks. Craig Bondy,Lake Land Networks,False,False
LAC LA BICHE COUNTY,LAC LA BICHE COUNTY,False,False
LA CIE DE TELEPHONE DE COURCELLES,LA CIE DE TELEPHONE DE COURCELLES,False,False
KRAKR Enterprises Inc,KRAKR Enterprises,False,False
Kian Telecom Inc.,Kian Telecom,False,False
Keewaytinook Okimakanak / Northern Chiefs Council,Keewaytinook Okimakanak,False,False
KATIVIK REGIONAL GOVERNMENT,KATIVIK REGIONAL GOVERNMENT,False,False
Jolee Electronics Inc.,Jolee Electronics,False,False
Joel Ouellette Enterprises Limited,Joel Ouellette Enterprises,False,False
iTéract inc.,iTéract,False,False
Ispeed Communications Inc.,Ispeed Communications,False,False
ISN Wireless Inc.,ISN Wireless,False,False
Island Telecom Inc.,Island Telecom,False,False
Iris Technologies,Ice Wireless,False,False
Inukshuk Wireless Partnership,Inukshuk,False,False
Internex Inc.,Internex,False,False
Internet Lake Simcoe Ltd,Internet Lake Simcoe,False,False
Internet Kent Inc.,Internet Kent,False,False
Internet Access Solutions Ltd.,Internet Access Solutions,False,False
Intelligence Papineau inc.,Intelligence Papineau,False,False
InnSysVoice Corp.,InnSysVoice,False,False
"Innovation, Science and Economic Development Canada / Innovation, Science et Développement économique Canada",ISED,False,False
"Innovation, Science and Economic Development Canada","Innovation, Science and Economic Development Canada",False,False
Industry Canada / Industrie Canada,ISED,False,False
Indicative Solution,Indicative Solution,False,False
IMPERIAL OIL LIMITED/ Attn: Luke Morgan,Imperial Oil,False,False
IMPERIAL OIL LIMITED Attention: Luke Morgan,Imperial Oil,False,False
Imperial Oil,Imperial Oil,False,False
ICE WIRELESS INC.,Ice Wireless,False,False
Ice Wireless Inc.,Ice Wireless,False,False
ICA MICROSYSTEMS INC.,ICA MICROSYSTEMS,False,False
I.D.LOGIQUE INC. ERIC STEINMETZER,I.D.LOGIQUE,False,False
I.D.LOGIQUE INC.,I.D.LOGIQUE,False,False
I-Netlink Incorporated,I-Netlink,False,False
i-MobileCa inc.,I-Mobileca,False,False
I-Mobileca Inc.,I-Mobileca,False,False
I-Mobileca Inc,I-Mobileca,False,False
I WANT WIRELESS.CA LTD.,I WANT WIRELESS.CA,False,False
Hyte Inc.,Hyte Inc.,False,False
Hyduke Energy Services Inc.,Hyduke Energy Services,False,False
Hy-Tek Advanced Computer & Internet Systems,Hy-Tek Advanced Computer & Internet Systems,False,False
HURON TELECOMMUNICATIONS CO-OPERATIVE LTD,HURON TELECOMMUNICATIONS,False,False
Huawei Technologies Canada,Huawei Technologies Canada,False,False
HIGHSPEEDCROW INC.,HIGHSPEEDCROW,False,False
HEARST WI-FIBE CORPORATION INC.,HEARST WI-FIBE,False,False
Hay Communications Co-Operative Ltd,HAY COMMUNICATIONS,False,False
HAY COMMUNICATIONS CO-OPERATIVE LTD,HAY COMMUNICATIONS,False,False
GROUPE MASKATEL GP INC. GROUPE MASKATEL LP,GROUPE MASKATEL GP,False,False
GROUPE MASKATEL GP INC.,GROUPE MASKATEL GP,False,False
Grey Bruce Telecom Inc.,Grey Bruce Telecom,False,False
GoZoom.ca Inc.,GoZoom.ca,False,False
GOSFIELD NORTH COMMUNICATIONS CO-OP LTD,GOSFIELD NORTH COMMUNICATIONS,False,False
Gorillanet.ca Inc.,Gorillanet.ca,False,False
Gopher Byte Computers,Gopher Byte Computers,False,False
Goldcorp Canada Ltd,Goldcorp Canada,False,False
Gogo Connectivity Ltd,Gogo Connectivity,False,False
GL Mobile Communications 588088 Saskatchewan Ltd.,GL Mobile,False,False
Gestion XCD Inc.,Gestion XCD Inc.,False,False
Gene's Electronics Ltd,GENE'S ELECTRONICS,False,False
GENE'S ELECTRONICS LTD,GENE'S ELECTRONICS,False,False
G.P.N. Wireless Network Solutions L,G.P.N. Wireless Network Solutions,False,False
Full Throttle Networks Inc.,Full Throttle Networks Inc.,False,False
Frontier Wireless Inc.,Frontier Wireless,False,False
Freedom Mobile Inc.,Freedom,False,False
"Fort Severn First Nation, C/O: Keewaytinook Okimakanak/Knet Serv.",Keewaytinook Okimakanak,False,False
FlexiNET Broadband Inc.,FlexiNET Broadband,False,False
Fleet Informatique inc.,Fleet Informatique,False,False
FIDO SOLUTIONS INC.,Rogers,False,False
"FIDO SOLUTIONS INC Ron Murphy, Dir. Radio Engineering",Rogers,False,False
Fibernetics Corporation,Fibernetics Corporation,False,False
Feenix Wireless Inc.,Feenix Wireless,False,False
FASTLAN Engineering Inc.,FASTLAN Engineering,False,False
Exolink Inc.,Exolink,False,False
Execulink Telecom Inc. (WBS),Execulink Telecom,False,False
EXECULINK TELECOM INC. (PCS/Cell),Execulink Telecom,False,False
Execulink Telecom Inc.,Execulink Telecom,False,False
Evtech Solutions dba 3D-P,Evtech Solutions dba 3D-P,False,False
Evolve Communications Inc. Ryan Ray,Evolve Communications,False,False
Evolve Communications Inc.,Evolve Communications,False,False
Essar Steel Algoma Inc.,Essar Steel Algoma,False,False
EspaceNet Inc.,EspaceNet,False,False
Eric Lanoie,Eric Lanoie,False,False
Enbridge Pipelines Sask. Inc.,Enbridge Pipelines Sask.,False,False
Eion Inc.,Eion,False,False
EH!tel Networks Inc.,EH!tel,False,False
Edmonton Police Services,Edmonton Police Services,False,False
Edgewood Community Internet Society,Edgewood Community Internet Society,False,False
Ecotel Inc.,Ecotel,False,False
Echo Networks Inc.,Echo Networks Inc.,False,False
"Eastern Irrigation District, operating as the EIDNet",EIDNet,False,False
Eastern Communications Ltd.,Eastern Communications,False,False
DUCLOS & MICHAUD TÉLÉCOM INC.,DUCLOS & MICHAUD TÉLÉCOM,False,False
DP World Prince Rupert Inc.,DP World,False,False
Double F & Company Ltd.,Double F & Company,False,False
Dirk John Heeg,Dirk John Heeg,False,False
Digicom Technologies Inc.,Digicom Technologies,False,False
Développement Innovations Haut-Richelieu,Développement Innovations Haut-Richelieu,False,False
Detour Wireless Inc.,Detour Wireless,False,False
Detour Gold Corporation,Detour Gold Corporation,False,False
Denetech,Denetech,False,False
"Davinci Broadband, Inc.",Davinci Broadband,False,False
David Fulgham,David Fulgham,False,False
Data Cabling Communications LTD,Data Cabling Communications LTD,False,False
DATA & AUDIO-VISUAL WIRELESS ENTERPRISES INC.,Rogers,False,False
Data & Audio-Visual Enterprises Wireless Inc.,Rogers,False,False
Darrin Mueller - Bluwest Wireless,Darrin Mueller - Bluwest Wireless,False,False
Daniel Blais,Daniel Blais,False,False
Daniel blais,Daniel Blais,False,False
Cybernet Communications Ltd.,Cybernet Communications,False,False
CSSS de Montmagny-L'Islet,CSSS de Montmagny-L'Islet,False,False
Crossover Networks Inc.,Crossover Networks,False,False
Crew Energy Inc.,Crew Energy,False,False
Crave Technologies Ltd,Crave Technologies,False,False
CRANBROOK INTERNET NETWORK TECHNOLOGIES INC,Cranbrook Internet Network,False,False
Cranbrook Internet Network,Cranbrook Internet Network,False,False
County of Grande Prairie No 1,County of Grande Prairie No 1,False,False
Country WiFi,Country WiFi,False,False
Cosworth Electronics LLC,Cosworth Electronics,False,False
Corridor Communications Inc.,Corridor Communications,False,False
Corridor Communications CCI Wireless,Corridor Communications,False,False
Corporation of the City of Sarnia,City of Sarnia,False,False
CORP OF THE CITY OF PORT ALBERNI,CORP OF THE CITY OF PORT ALBERNI,False,False
CORE BROADBAND INC.,CORE BROADBAND,False,False
Copper Valley Computers Ltd.,Copper Valley Computers,False,False
COOPTEL,COOPTEL,False,False
COOPÉRATIVE DE SERVICES INTERNET PIERRE-DE-SAUREL,COOPÉRATIVE DE SERVICES INTERNET PIERRE-DE-SAUREL,False,False
ContinuIT CORP.,ContinuIT CORP.,False,False
CONSEIL DES ATIKAMEKW D'OPITCIWAN,CONSEIL DES ATIKAMEKW D'OPITCIWAN,False,False
Comwave Networks Inc.,Comwave Networks,False,False
COMPAGNIE DE TELEPHONE DE LAMBTON,COMPAGNIE DE TELEPHONE DE LAMBTON,False,False
Communications Télésignal Inc.,Communications Télésignal,False,False
Communications Cold Lake Inc.,Communications Cold Lake,False,False
Communications Charlevoix,Communications Charlevoix,False,False
Commstream Communications Inc.,Commstream Communications,False,False
Commstream Communications Inc Tom Motyka,Commstream Communications,False,False
Comcentric Networking Inc.,Comcentric Networking,False,False
Columbia Wireless Inc,Columbia Wireless,False,False
Coleman Properties Ltd,Coleman Properties,False,False
Cogeco Connexion inc.,Cogeco,False,False
Cogeco Communications Inc.,Cogeco,False,False
Cochrane Telecom Services of the Corporation of the Town of Cochrane,Cochrane Telecom Services,False,False
CLEARWAVE BROADBAND NETWORKS INC.,CLEARWAVE BROADBAND NETWORKS,False,False
CITY WEST CABLE AND TELEPHONE CORP,CITY WEST CABLE AND TELEPHONE CORP,False,False
City of Yellowknife - Master Account,City of Yellowknife,False,False
City of Vancouver,City of Vancouver,False,False
City of Toronto Transportation Ser. Traffic Management Centre,City of Toronto Transportation Ser. Traffic Management Centre,False,False
City of Toronto Police Services Board,City of Toronto Police Services Board,False,False
City of Thunder Bay Water Treatment Plan,City of Thunder Bay Water Treatment Plan,False,False
City of Richmond Radio Shop - SCADA System,City of Richmond Radio Shop - SCADA System,False,False
City of Regina,City of Regina,False,False
CITY OF QUINTE WEST,CITY OF QUINTE WEST,False,False
CITY OF MAPLE RIDGE ( POLICE - FIRE SUPPORT),City of Maple Ridge,False,False
City Of Kimberley,City Of Kimberley,False,False
CITY OF GRANDE PRAIRIE,City of Grande Prairie,False,False
City of Grande Prairie,City of Grande Prairie,False,False
CITY OF FORT SASKATCHEWAN IT LINK / 38 GHz,City of Fort Saskatchewan IT Link / 38 GHz,False,False
City of Fort Saskatchewan IT Link / 38 GHz,City of Fort Saskatchewan IT Link / 38 GHz,False,False
City of Dieppe Fire Department,City of Dieppe Fire Department,False,False
City of Campbell River,City of Campbell River,False,False
"City of Calgary, Midnapore Centre Donald Workman","City of Calgary, Midnapore Centre Donald Workman",False,False
CITY OF CALGARY IT DEPARTMENT,CITY OF CALGARY IT DEPARTMENT,False,False
City of Barrie Fire and Emergency Service,City of Barrie Fire and Emergency Service,False,False
CITY OF AIRDRIE - I.T DEPARTMENT,CITY OF AIRDRIE - I.T DEPARTMENT,False,False
CITY OF ABBOTSFORD AMI LICENCE,CITY OF ABBOTSFORD AMI LICENCE,False,False
CIK Telecom INC.,CIK Telecom INC.,False,False
Chinook Integrated Technologies,Chinook Integrated Technologies,False,False
China Creek Internet Ltd.,China Creek Internet,False,False
Chief Mountain Gas Co-op Ltd.,Chief Mountain Gas Co-op,False,False
Chatham Internet Access,Chatham Internet Access,False,False
Cenovus Energy Inc.,Cenovus Energy,False,False
Celluworld Inc.,Celluworld,False,False
Celerity Telecom Inc,Celerity Telecom,False,False
ccROUTE Inc.,ccROUTE,False,False
CCINet Ltd.,CCI Net,False,False
CCI Wireless o/a Corridor Communications Inc.,Corridor Communications,False,False
CCI Net Ltd.,CCI Net,False,False
CCI Net,CCI Net,False,False
Cascade Divide Enterprises Inc.,Cascade Divide Enterprises,False,False
Cardinal Telecom (2000) Inc.,Cardinal Telecom (2000),False,False
CanWAN.com Communications Inc,CanWAN.com Communications,False,False
Canadian Spectrum Holding Corporation,Canadian Spectrum Holding,False,False
Canadian Natural Resources Limited,Canadian Natural Resources,False,False
Cadwal Communications,Cadwal Communications,False,False
Cable Cable Inc.,Cable Cable Inc.,False,False
Burgeo Broadcasting System,Burgeo Broadcasting System,False,False
BSURFER INC.,BSURFER,False,False
Bruce Telecom Ontario Inc.,BRUCE TELECOM,False,False
BRUCE TELECOM,BRUCE TELECOM,False,False
Brooke Telecom Co-Operative Ltd.,Brooke Telecom,False,False
BROOKE TELECOM CO-OPERATIVE LTD,Brooke Telecom,False,False
Broadpoint International,Broadpoint International,False,False
Broadnet Telecom Inc.,Broadnet Telecom,False,False
BROADBAND SURFER CANADA INC.,BROADBAND SURFER CANADA,False,False
Broadband Communications North Inc.,Broadband Communications North,False,False
"Bragg Communications Inc. dba ""Eastlink""",Eastlink,False,False
Bragg Communications Inc.,Eastlink,False,False
"Bragg Communications Inc, dba ""Eastlink""",Eastlink,False,False
Blue Canada Wireless Inc.,Blue Canada Wireless,False,False
Blinq Wireless Inc,Blinq Wireless,False,False
Birch Hill Telecom Corp.,Birch Hill Telecom,False,False
Binary Solutions Ltd.,Binary Solutions,False,False
BINARY SOLUTIONS LTD,Binary Solutions,False,False
"Bell MTS, a division of Bell Canada",Bell,False,False
Bell Mobility Inc.,Bell,False,False
Bell Canada Inc.,Bell,False,False
Bell Canada,Bell,False,False
BELL MOBILITY INC.,Bell,False,False
Beaver Telecommunications Inc.,Beaver Telecommunications,False,False
Beauce Télécom inc.,Beauce Télécom,False,False
Beacon Wireless Inc,Beacon Wireless,False,False
Beacon Broadband Inc.,Beacon Broadband,False,False
BC HYDRO,BC HYDRO,False,False
Base Technology Limited,Base Technology,False,False
Baffinland Iron Mines,Baffinland Iron Mines,False,False
"ATLANTIC TOWING LTD JEFF LLOYD, OPERATIONS MANAGER","ATLANTIC TOWING LTD JEFF LLOYD, OPERATIONS MANAGER",False,False
Atlantic Towing Ltd,"ATLANTIC TOWING LTD JEFF LLOYD, OPERATIONS MANAGER",False,False
Athabasca Oil Corporation,Athabasca Oil,False,False
Askivision Systems Inc.,Askivision Systems,False,False
ARC RESOURCES LTD.,ARC Resources,False,False
ARC Resources,ARC Resources,False,False
Apertech Communications Inc.,Apertech Communications,False,False
Andrews Wireless Limited,Andrews Wireless,False,False
